Case,Activity,Timestamp,Resource,System
0,Check for completeness,2023-09-29 09:00:00.000,Clerk-000001,System2
1,Check for completeness,2023-09-29 09:05:24.364,Clerk-000002,System2
2,Check for completeness,2023-09-29 09:24:45.487,Clerk-000005,System2
3,Check for completeness,2023-09-29 11:04:02.737,Clerk-000001,System2
3,Check for completeness,2023-09-29 11:23:06.200,Clerk-000003,System2
4,Check for completeness,2023-09-29 11:34:38.887,Clerk-000004,System2
4,Check for completeness,2023-09-29 12:28:55.322,Clerk-000001,System2
5,Check for completeness,2023-09-29 11:58:51.818,Clerk-000005,System2
6,Check for completeness,2023-09-29 13:17:49.926,Clerk-000002,System2
7,Check for completeness,2023-09-29 13:24:12.521,Clerk-000004,System2
8,Check for completeness,2023-09-29 13:38:17.743,Clerk-000006,System2
8,Check for completeness,2023-09-29 13:45:38.311,Clerk-000004,System2
8,Check for completeness,2023-09-29 14:19:57.442,Clerk-000006,System2
9,Check for completeness,2023-09-29 13:41:21.583,Clerk-000001,System2
9,Check for completeness,2023-09-29 14:19:10.830,Clerk-000002,System2
9,Check for completeness,2023-09-29 14:33:19.099,Clerk-000004,System2
9,Check for completeness,2023-09-29 15:23:33.408,Clerk-000006,System2
10,Check for completeness,2023-09-29 14:47:37.938,Clerk-000005,System2
10,Check for completeness,2023-09-29 14:54:11.063,Clerk-000001,System2
11,Check for completeness,2023-09-29 16:06:37.359,Clerk-000005,System2
12,Check for completeness,2023-09-29 16:07:28.415,Clerk-000004,System2
12,Check for completeness,2023-09-29 16:33:42.086,Clerk-000003,System2
12,Check for completeness,2023-09-29 16:45:38.106,Clerk-000005,System2
13,Check for completeness,2023-09-29 16:14:30.309,Clerk-000002,System2
13,Check for completeness,2023-09-29 16:47:07.319,Clerk-000001,System2
13,Check for completeness,2023-09-29 18:02:19.808,Clerk-000003,System2
13,Check for completeness,2023-09-29 18:14:51.199,Clerk-000006,System2
13,Check for completeness,2023-09-29 18:38:09.483,Clerk-000004,System2
13,Check for completeness,2023-09-29 19:35:49.940,Clerk-000003,System2
13,Check for completeness,2023-09-29 20:04:30.804,Clerk-000002,System2
13,Check for completeness,2023-09-29 20:28:38.849,Clerk-000006,System2
13,Check for completeness,2023-09-29 21:03:16.372,Clerk-000006,System2
14,Check for completeness,2023-09-29 16:51:09.691,Clerk-000002,System2
15,Check for completeness,2023-09-29 16:58:01.944,Clerk-000003,System2
16,Check for completeness,2023-09-29 17:45:26.578,Clerk-000005,System2
16,Check for completeness,2023-09-29 17:58:14.022,Clerk-000002,System2
16,Check for completeness,2023-09-29 18:38:26.236,Clerk-000002,System2
17,Check for completeness,2023-09-29 17:57:31.716,Clerk-000006,System2
18,Check for completeness,2023-09-29 18:06:16.258,Clerk-000004,System2
19,Check for completeness,2023-09-29 18:18:58.323,Clerk-000001,System2
19,Check for completeness,2023-09-29 18:32:38.853,Clerk-000003,System2
19,Check for completeness,2023-09-29 19:40:31.376,Clerk-000004,System2
19,Check for completeness,2023-09-29 20:26:29.474,Clerk-000003,System2
20,Check for completeness,2023-09-29 19:19:25.291,Clerk-000002,System2
20,Check for completeness,2023-09-29 19:27:34.092,Clerk-000005,System2
20,Check for completeness,2023-09-29 19:46:00.472,Clerk-000006,System2
20,Check for completeness,2023-09-29 19:48:49.020,Clerk-000001,System2
21,Check for completeness,2023-09-29 20:41:51.439,Clerk-000001,System2
21,Check for completeness,2023-09-29 21:43:01.560,Clerk-000005,System2
21,Check for completeness,2023-09-29 21:52:57.742,Clerk-000001,System2
21,Check for completeness,2023-09-29 22:13:55.867,Clerk-000006,System2
22,Check for completeness,2023-09-29 21:09:37.104,Clerk-000004,System2
22,Check for completeness,2023-09-29 22:05:10.715,Clerk-000002,System2
22,Check for completeness,2023-09-29 22:56:59.525,Clerk-000005,System2
22,Check for completeness,2023-09-29 23:19:15.758,Clerk-000001,System2
22,Check for completeness,2023-09-29 23:44:05.965,Clerk-000004,System2
23,Check for completeness,2023-09-30 00:48:40.748,Clerk-000006,System2
23,Check for completeness,2023-09-30 01:17:56.782,Clerk-000005,System2
24,Check for completeness,2023-10-02 02:06:13.754,Clerk-000004,System2
25,Check for completeness,2023-10-02 02:15:15.496,Clerk-000006,System2
26,Check for completeness,2023-10-02 02:24:49.667,Clerk-000003,System2
26,Check for completeness,2023-10-02 02:59:43.495,Clerk-000004,System2
26,Check for completeness,2023-10-02 03:04:52.705,Clerk-000006,System2
26,Check for completeness,2023-10-02 03:21:13.579,Clerk-000003,System2
26,Check for completeness,2023-10-02 04:17:27.921,Clerk-000004,System2
26,Check for completeness,2023-10-02 04:33:10.924,Clerk-000006,System2
26,Check for completeness,2023-10-02 04:49:14.560,Clerk-000002,System2
