Case,Event,Activity,Timestamp
0,0,start,2020-09-16 17:00:00.000
0,1,Take order,2020-09-16 17:04:39.012
0,2,Review order,2020-09-16 17:05:23.544
0,3,prepare drinks,2020-09-16 17:10:17.791
0,4,Bring drinks,2020-09-16 17:10:36.617
0,5,Review drinks,2020-09-16 17:11:10.039
0,6,Prepare main course,2020-09-16 17:14:50.243
0,7,Signal food complete,2020-09-16 17:14:55.243
0,8,Bring food,2020-09-16 17:15:33.099
0,9,Deliver to customer,2020-09-16 17:20:02.204
0,10,EVENT 8 END,2020-09-16 17:20:02.204
1,11,start,2020-09-16 17:03:10.538
1,12,Take order,2020-09-16 17:08:31.788
1,13,Review order,2020-09-16 17:09:38.143
1,14,prepare drinks,2020-09-16 17:14:23.762
1,15,Prepare starter,2020-09-16 17:16:04.905
1,16,Bring drinks,2020-09-16 17:17:06.144
1,17,Review drinks,2020-09-16 17:17:48.142
1,18,Prepare main course,2020-09-16 17:18:36.521
1,19,Signal food complete,2020-09-16 17:18:41.521
1,20,Bring food,2020-09-16 17:19:14.786
1,21,Deliver to customer,2020-09-16 17:22:10.667
1,22,EVENT 8 END,2020-09-16 17:22:10.667
2,23,start,2020-09-16 17:05:08.787
2,24,Take order,2020-09-16 17:11:16.085
2,25,Review order,2020-09-16 17:12:09.149
2,26,prepare drinks,2020-09-16 17:18:25.967
2,27,Bring drinks,2020-09-16 17:18:59.560
2,28,Review drinks,2020-09-16 17:19:28.552
2,29,Prepare main course,2020-09-16 17:21:53.157
2,30,Signal food complete,2020-09-16 17:21:58.157
2,31,Bring food,2020-09-16 17:22:41.740
2,32,Deliver to customer,2020-09-16 17:27:52.194
2,33,EVENT 8 END,2020-09-16 17:27:52.194
3,34,start,2020-09-16 17:05:28.405
3,35,Take order,2020-09-16 17:10:58.516
3,36,Review order,2020-09-16 17:11:54.615
3,37,prepare drinks,2020-09-16 17:15:37.325
3,38,Prepare starter,2020-09-16 17:17:33.437
3,39,Bring drinks,2020-09-16 17:17:37.008
3,40,Review drinks,2020-09-16 17:18:13.274
3,41,prepare drinks,2020-09-16 17:22:21.750
3,42,Bring drinks,2020-09-16 17:22:53.377
3,43,Review drinks,2020-09-16 17:23:16.730
3,44,Prepare main course,2020-09-16 17:23:25.231
3,45,Signal food complete,2020-09-16 17:23:30.231
3,46,Bring food,2020-09-16 17:24:01.473
3,47,Deliver to customer,2020-09-16 17:29:15.201
3,48,EVENT 8 END,2020-09-16 17:29:15.201
4,49,start,2020-09-16 17:06:02.753
4,50,Take order,2020-09-16 17:10:47.250
4,51,Review order,2020-09-16 17:11:44.935
4,52,prepare drinks,2020-09-16 17:16:33.955
4,53,Bring drinks,2020-09-16 17:18:08.887
4,54,Review drinks,2020-09-16 17:18:36.568
4,55,Prepare starter,2020-09-16 17:20:42.105
4,56,Prepare main course,2020-09-16 17:21:22.268
