Case,Event,Activity,Timestamp
case_0,0,Activity A,1970/01/01 09:00:00.000
case_0,1,Activity C,1970/01/01 10:00:00.000
case_0,2,Activity H,1970/01/01 11:00:00.000
case_0,3,Activity D,1970/01/01 12:00:00.000
case_0,4,Activity I,1970/01/01 13:00:00.000
case_0,5,Activity M,1970/01/01 14:00:00.000
case_0,6,Activity J,1970/01/01 15:00:00.000
case_0,7,Activity B,1970/01/01 16:00:00.000
case_1,8,Activity A,1970/01/01 09:00:00.000
case_1,9,Activity Y,1970/01/01 10:00:00.000
case_1,10,Activity B,1970/01/01 11:00:00.000
case_10,11,Activity A,1970/01/01 09:00:00.000
case_10,12,Activity O,1970/01/01 10:00:00.000
case_10,13,Activity Q,1970/01/01 11:00:00.000
case_10,14,Activity R,1970/01/01 12:00:00.000
case_10,15,Activity P,1970/01/01 13:00:00.000
case_10,16,Activity B,1970/01/01 14:00:00.000
case_100,17,Activity A,1970/01/01 09:00:00.000
case_100,18,Activity Z,1970/01/01 10:00:00.000
case_100,19,Activity AA,1970/01/01 11:00:00.000
case_100,20,Activity AD,1970/01/01 12:00:00.000
case_100,21,Activity AB,1970/01/01 13:00:00.000
case_100,22,Activity B,1970/01/01 14:00:00.000
case_1000,23,Activity A,1970/01/01 09:00:00.000
case_1000,24,Activity O,1970/01/01 10:00:00.000
case_1000,25,Activity S,1970/01/01 11:00:00.000
case_1000,26,Activity T,1970/01/01 12:00:00.000
case_1000,27,Activity P,1970/01/01 13:00:00.000
case_1000,28,Activity B,1970/01/01 14:00:00.000
case_10000,29,Activity A,1970/01/01 09:00:00.000
case_10000,30,Activity O,1970/01/01 10:00:00.000
case_10000,31,Activity U,1970/01/01 11:00:00.000
case_10000,32,Activity X,1970/01/01 12:00:00.000
case_10000,33,Activity V,1970/01/01 13:00:00.000
case_10000,34,Activity P,1970/01/01 14:00:00.000
case_10000,35,Activity B,1970/01/01 15:00:00.000
case_10001,36,Activity A,1970/01/01 09:00:00.000
case_10001,37,Activity O,1970/01/01 10:00:00.000
case_10001,38,Activity U,1970/01/01 11:00:00.000
case_10001,39,Activity W,1970/01/01 12:00:00.000
case_10001,40,Activity V,1970/01/01 13:00:00.000
case_10001,41,Activity P,1970/01/01 14:00:00.000
case_10001,42,Activity B,1970/01/01 15:00:00.000
case_10002,43,Activity A,1970/01/01 09:00:00.000
case_10002,44,Activity O,1970/01/01 10:00:00.000
case_10002,45,Activity U,1970/01/01 11:00:00.000
case_10002,46,Activity W,1970/01/01 12:00:00.000
case_10002,47,Activity V,1970/01/01 13:00:00.000
case_10002,48,Activity P,1970/01/01 14:00:00.000
case_10002,49,Activity B,1970/01/01 15:00:00.000
case_10003,50,Activity A,1970/01/01 09:00:00.000
case_10003,51,Activity O,1970/01/01 10:00:00.000
case_10003,52,Activity Q,1970/01/01 11:00:00.000
case_10003,53,Activity R,1970/01/01 12:00:00.000
case_10003,54,Activity P,1970/01/01 13:00:00.000
case_10003,55,Activity B,1970/01/01 14:00:00.000
case_10004,56,Activity A,1970/01/01 09:00:00.000
case_10004,57,Activity Y,1970/01/01 10:00:00.000
case_10004,58,Activity B,1970/01/01 11:00:00.000
case_10005,59,Activity A,1970/01/01 09:00:00.000
case_10005,60,Activity Y,1970/01/01 10:00:00.000
case_10005,61,Activity B,1970/01/01 11:00:00.000
case_10006,62,Activity A,1970/01/01 09:00:00.000
