Case,Event,Activity,Timestamp
case_0,0,Activity A,1970/01/01 09:00:00.000
case_0,1,Activity N,1970/01/01 10:00:00.000
case_0,2,Activity R,1970/01/01 11:00:00.000
case_0,3,Activity V,1970/01/01 12:00:00.000
case_0,4,Activity S,1970/01/01 13:00:00.000
case_0,5,Activity O,1970/01/01 14:00:00.000
case_0,6,Activity B,1970/01/01 15:00:00.000
case_1,7,Activity A,1970/01/01 09:00:00.000
case_1,8,Activity C,1970/01/01 10:00:00.000
case_1,9,Activity M,1970/01/01 11:00:00.000
case_1,10,Activity D,1970/01/01 12:00:00.000
case_1,11,Activity B,1970/01/01 13:00:00.000
case_10,12,Activity A,1970/01/01 09:00:00.000
case_10,13,Activity C,1970/01/01 10:00:00.000
case_10,14,Activity M,1970/01/01 11:00:00.000
case_10,15,Activity D,1970/01/01 12:00:00.000
case_10,16,Activity B,1970/01/01 13:00:00.000
case_100,17,Activity A,1970/01/01 09:00:00.000
case_100,18,Activity N,1970/01/01 10:00:00.000
case_100,19,Activity R,1970/01/01 11:00:00.000
case_100,20,Activity X,1970/01/01 12:00:00.000
case_100,21,Activity S,1970/01/01 13:00:00.000
case_100,22,Activity O,1970/01/01 14:00:00.000
case_100,23,Activity B,1970/01/01 15:00:00.000
case_1000,24,Activity A,1970/01/01 09:00:00.000
case_1000,25,Activity C,1970/01/01 10:00:00.000
case_1000,26,Activity L,1970/01/01 11:00:00.000
case_1000,27,Activity D,1970/01/01 12:00:00.000
case_1000,28,Activity B,1970/01/01 13:00:00.000
case_10000,29,Activity A,1970/01/01 09:00:00.000
case_10000,30,Activity N,1970/01/01 10:00:00.000
case_10000,31,Activity Y,1970/01/01 11:00:00.000
case_10000,32,Activity AD,1970/01/01 12:00:00.000
case_10000,33,Activity Z,1970/01/01 13:00:00.000
case_10000,34,Activity O,1970/01/01 14:00:00.000
case_10000,35,Activity B,1970/01/01 15:00:00.000
case_10001,36,Activity A,1970/01/01 09:00:00.000
case_10001,37,Activity C,1970/01/01 10:00:00.000
case_10001,38,Activity E,1970/01/01 11:00:00.000
case_10001,39,Activity H,1970/01/01 12:00:00.000
case_10001,40,Activity F,1970/01/01 13:00:00.000
case_10001,41,Activity D,1970/01/01 14:00:00.000
case_10001,42,Activity B,1970/01/01 15:00:00.000
case_10002,43,Activity A,1970/01/01 09:00:00.000
case_10002,44,Activity C,1970/01/01 10:00:00.000
case_10002,45,Activity L,1970/01/01 11:00:00.000
case_10002,46,Activity D,1970/01/01 12:00:00.000
case_10002,47,Activity B,1970/01/01 13:00:00.000
case_10003,48,Activity A,1970/01/01 09:00:00.000
case_10003,49,Activity C,1970/01/01 10:00:00.000
case_10003,50,Activity L,1970/01/01 11:00:00.000
case_10003,51,Activity D,1970/01/01 12:00:00.000
case_10003,52,Activity B,1970/01/01 13:00:00.000
case_10004,53,Activity A,1970/01/01 09:00:00.000
case_10004,54,Activity C,1970/01/01 10:00:00.000
case_10004,55,Activity L,1970/01/01 11:00:00.000
case_10004,56,Activity D,1970/01/01 12:00:00.000
case_10004,57,Activity B,1970/01/01 13:00:00.000
case_10005,58,Activity A,1970/01/01 09:00:00.000
case_10005,59,Activity N,1970/01/01 10:00:00.000
case_10005,60,Activity AE,1970/01/01 11:00:00.000
case_10005,61,Activity AF,1970/01/01 12:00:00.000
case_10005,62,Activity O,1970/01/01 13:00:00.000
case_10005,63,Activity B,1970/01/01 14:00:00.000
case_10006,64,Activity A,1970/01/01 09:00:00.000
case_10006,65,Activity C,1970/01/01 10:00:00.000
case_10006,66,Activity E,1970/01/01 11:00:00.000
case_10006,67,Activity G,1970/01/01 12:00:00.000
case_10006,68,Activity F,1970/01/01 13:00:00.000
case_10006,69,Activity D,1970/01/01 14:00:00.000
case_10006,70,Activity B,1970/01/01 15:00:00.000
case_10007,71,Activity A,1970/01/01 09:00:00.000
case_10007,72,Activity N,1970/01/01 10:00:00.000
case_10007,73,Activity Y,1970/01/01 11:00:00.000
case_10007,74,Activity AA,1970/01/01 12:00:00.000
case_10007,75,Activity Z,1970/01/01 13:00:00.000
case_10007,76,Activity O,1970/01/01 14:00:00.000
case_10007,77,Activity B,1970/01/01 15:00:00.000
case_10008,78,Activity A,1970/01/01 09:00:00.000
case_10008,79,Activity C,1970/01/01 10:00:00.000
case_10008,80,Activity M,1970/01/01 11:00:00.000
case_10008,81,Activity D,1970/01/01 12:00:00.000
case_10008,82,Activity B,1970/01/01 13:00:00.000
case_10009,83,Activity A,1970/01/01 09:00:00.000
case_10009,84,Activity N,1970/01/01 10:00:00.000
case_10009,85,Activity AE,1970/01/01 11:00:00.000
case_10009,86,Activity AF,1970/01/01 12:00:00.000
case_10009,87,Activity O,1970/01/01 13:00:00.000
case_10009,88,Activity B,1970/01/01 14:00:00.000
case_1001,89,Activity A,1970/01/01 09:00:00.000
case_1001,90,Activity C,1970/01/01 10:00:00.000
case_1001,91,Activity M,1970/01/01 11:00:00.000
case_1001,92,Activity D,1970/01/01 12:00:00.000
case_1001,93,Activity B,1970/01/01 13:00:00.000
case_10010,94,Activity A,1970/01/01 09:00:00.000
case_10010,95,Activity C,1970/01/01 10:00:00.000
case_10010,96,Activity K,1970/01/01 11:00:00.000
case_10010,97,Activity D,1970/01/01 12:00:00.000
case_10010,98,Activity B,1970/01/01 13:00:00.000
case_10011,99,Activity A,1970/01/01 09:00:00.000
case_10011,100,Activity N,1970/01/01 10:00:00.000
case_10011,101,Activity R,1970/01/01 11:00:00.000
case_10011,102,Activity W,1970/01/01 12:00:00.000
case_10011,103,Activity S,1970/01/01 13:00:00.000
case_10011,104,Activity O,1970/01/01 14:00:00.000
case_10011,105,Activity B,1970/01/01 15:00:00.000
case_10012,106,Activity A,1970/01/01 09:00:00.000
case_10012,107,Activity C,1970/01/01 10:00:00.000
case_10012,108,Activity M,1970/01/01 11:00:00.000
case_10012,109,Activity D,1970/01/01 12:00:00.000
case_10012,110,Activity B,1970/01/01 13:00:00.000
case_10013,111,Activity A,1970/01/01 09:00:00.000
case_10013,112,Activity C,1970/01/01 10:00:00.000
case_10013,113,Activity L,1970/01/01 11:00:00.000
case_10013,114,Activity D,1970/01/01 12:00:00.000
case_10013,115,Activity B,1970/01/01 13:00:00.000
case_10014,116,Activity A,1970/01/01 09:00:00.000
case_10014,117,Activity N,1970/01/01 10:00:00.000
case_10014,118,Activity Y,1970/01/01 11:00:00.000
case_10014,119,Activity AC,1970/01/01 12:00:00.000
case_10014,120,Activity Z,1970/01/01 13:00:00.000
